ID,EmpleadoID,Fecha,Puntaje,Comentarios
1,1,2023-01-10,8,Buen ambiente laboral y excelentes compañeros
2,2,2023-01-12,7,Deberíamos mejorar la comunicación interna
3,3,2023-01-14,9,Oportunidades de crecimiento y desarrollo profesional
4,4,2023-01-16,6,Necesitamos más beneficios sociales
5,5,2023-01-18,8,Flexibilidad en los horarios y buen ambiente
6,1,2023-01-10,8,Buen ambiente laboral y excelentes compañeros
7,2,2023-01-12,7,Deberíamos mejorar la comunicación interna
8,3,2023-01-14,9,Oportunidades de crecimiento y desarrollo profesional
9,4,2023-01-16,6,Necesitamos más beneficios sociales
10,5,2023-01-18,8,Flexibilidad en los horarios y buen ambiente
29,1,2023-02-10,7,Buen ambiente de trabajo
30,2,2023-01-20,9,Oportunidades de crecimiento
31,3,2023-03-15,6,Necesidad de más recursos
32,4,2023-02-18,8,Buenas condiciones laborales
33,5,2023-01-22,7,Mejora en la comunicación
34,6,2023-03-10,8,Flexibilidad en horarios
35,7,2023-01-30,9,Gran equipo de trabajo
36,8,2023-02-25,6,Necesidad de mayores beneficios
37,9,2023-03-05,8,Excelente cultura empresarial
38,10,2023-02-28,7,Buen apoyo del equipo de gestión
39,11,2023-02-15,8,Buen ambiente laboral
40,12,2023-01-18,9,Mejora salarial Soy Enzo
